,x,y,congestion
0,94.0,8.0,0.0566941499710083
1,95.0,8.0,0.5178868770599365
2,96.0,8.0,0.528817892074585
3,97.0,8.0,0.5249505043029785
4,98.0,8.0,0.409084290266037
5,99.0,8.0,0.056792329996824265
6,104.0,8.0,0.3862880766391754
7,105.0,8.0,0.40113362669944763
8,106.0,8.0,0.42047813534736633
9,107.0,8.0,0.4583837687969208
10,108.0,8.0,0.46034544706344604
11,109.0,8.0,0.4599122107028961
12,110.0,8.0,0.36013972759246826
13,118.0,8.0,0.4389663636684418
14,119.0,8.0,0.5131204724311829
15,120.0,8.0,0.43473020195961
16,121.0,8.0,0.4302694499492645
17,122.0,8.0,0.4536694288253784
18,123.0,8.0,0.4532489478588104
19,124.0,8.0,0.46319276094436646
20,135.0,8.0,0.05244782194495201
21,136.0,8.0,0.43050891160964966
22,137.0,8.0,0.4595387578010559
23,138.0,8.0,0.32972460985183716
24,139.0,8.0,0.49226340651512146
25,140.0,8.0,0.4907520115375519
26,141.0,8.0,0.20796887576580048
27,142.0,8.0,0.10550292581319809
28,143.0,8.0,0.0878811776638031
29,144.0,8.0,0.08364956080913544
30,145.0,8.0,0.44591718912124634
31,146.0,8.0,0.49137237668037415
32,147.0,8.0,0.5112689137458801
33,148.0,8.0,0.4961915612220764
34,149.0,8.0,0.5257073640823364
35,150.0,8.0,0.5164251327514648
36,151.0,8.0,0.4659847617149353
37,158.0,8.0,0.37234175205230713
38,159.0,8.0,0.3194940388202667
39,162.0,8.0,0.31974369287490845
40,163.0,8.0,0.4436981678009033
41,164.0,8.0,0.1745319366455078
42,165.0,8.0,0.10574538260698318
43,166.0,8.0,0.4036472737789154
44,167.0,8.0,0.42843204736709595
45,172.0,8.0,0.29789987206459045
46,173.0,8.0,0.5252219438552856
47,174.0,8.0,0.5205220580101013
48,175.0,8.0,0.4879336357116699
49,176.0,8.0,0.32252490520477295
50,177.0,8.0,0.45084285736083984
51,178.0,8.0,0.48865842819213867
52,179.0,8.0,0.44493141770362854
53,94.0,9.0,0.11135981231927872
54,95.0,9.0,0.5051475167274475
55,96.0,9.0,0.5246206521987915
56,97.0,9.0,0.52763432264328
57,98.0,9.0,0.4074428677558899
58,99.0,9.0,0.02787340246140957
59,104.0,9.0,0.3809106945991516
60,105.0,9.0,0.41451922059059143
61,106.0,9.0,0.434116929769516
62,107.0,9.0,0.4661901295185089
63,108.0,9.0,0.4723288416862488
64,109.0,9.0,0.4452890157699585
65,110.0,9.0,0.3638496696949005
66,118.0,9.0,0.4092836081981659
67,119.0,9.0,0.5023784041404724
68,120.0,9.0,0.43518155813217163
69,121.0,9.0,0.45609161257743835
70,122.0,9.0,0.4798225164413452
71,123.0,9.0,0.4692729115486145
72,124.0,9.0,0.4581107497215271
73,135.0,9.0,0.07077669352293015
74,136.0,9.0,0.3617191016674042
75,137.0,9.0,0.40818774700164795
76,138.0,9.0,0.3261094093322754
77,139.0,9.0,0.4582522213459015
78,140.0,9.0,0.4815937280654907
79,141.0,9.0,0.11928344517946243
80,142.0,9.0,0.03931751474738121
81,143.0,9.0,0.03553421422839165
82,144.0,9.0,0.016403166577219963
83,145.0,9.0,0.4321308434009552
84,146.0,9.0,0.47540727257728577
85,147.0,9.0,0.5606046915054321
86,148.0,9.0,0.5444344878196716
87,149.0,9.0,0.5448161363601685
88,150.0,9.0,0.5102996230125427
89,151.0,9.0,0.4452876150608063
90,157.0,9.0,0.03641229122877121
91,158.0,9.0,0.3372246325016022
92,159.0,9.0,0.3006240129470825
93,162.0,9.0,0.369425892829895
94,163.0,9.0,0.4810117185115814
95,164.0,9.0,0.20155249536037445
96,165.0,9.0,0.16723929345607758
97,166.0,9.0,0.43408042192459106
98,167.0,9.0,0.4350329339504242
99,172.0,9.0,0.26746806502342224
100,173.0,9.0,0.5111513137817383
101,174.0,9.0,0.5240880250930786
102,175.0,9.0,0.49362656474113464
103,176.0,9.0,0.3096836507320404
104,177.0,9.0,0.4292812943458557
105,178.0,9.0,0.4619995653629303
106,179.0,9.0,0.4458354413509369
107,92.0,12.0,0.5798868536949158
108,93.0,12.0,0.6732114553451538
109,94.0,12.0,0.7048142552375793
110,95.0,12.0,0.7209617495536804
111,96.0,12.0,0.7207615375518799
112,97.0,12.0,0.725890040397644
113,98.0,12.0,0.685233473777771
114,99.0,12.0,0.6411620378494263
115,100.0,12.0,0.6377255916595459
116,101.0,12.0,0.6405977010726929
